material_id,formula,work_function_eV,E_ads_DFT_eV,band_gap_DFT,band_gap_CGCNN,formation_energy_DFT,formation_energy_CGCNN,energy_hull_DFT,energy_hull_CGCNN,bulk_modulus_DFT,bulk_modulus_CGCNN,shear_modulus_DFT,shear_modulus_CGCNN,young_modulus_DFT,young_modulus_CGCNN
3523,GaTeCl,4.45696,-2.80039,0.0,0.228,-0.31173,-0.265,0.1342,-0.073,14.89,10.652,1.53,2.127,4.437993506493505,6.582
6283,Na2I,4.54108,-2.78119,0.0,-0.029,-0.53526,-0.512,0.1402,0.001,9.54,8.061,1.45,0.421,4.140239441303624,2.588
4382,Pr4C2Cl5,4.62462,-2.76918,0.0,-0.08,-1.56424,-1.527,0.0,-0.154,,18.605,,11.007,,27.554
6978,Si,4.9752,-2.75656,0.0,-0.03,0.16663,0.294,0.1714,0.023,81.6,92.789,65.34,74.928,154.72269297736509,175.639
8,TcSe2,4.76737,-2.74086,,0.163,,-0.066,,0.666,,29.441,,11.486,,29.938
1877,HgF2,3.93091,-2.73406,0.862,0.92,-1.39914,-1.354,0.0,-0.045,97.63,84.626,19.52,20.708,54.9010543836625,57.273
1887,B2S,5.2528,-2.72482,0.0,-0.024,0.45373,0.657,3.3598,3.622,101.08,101.972,9.45,6.568,27.49321692411014,22.704
3838,Te4MoBr,4.89188,-2.70943,0.855,0.857,-0.25520274499999945,-0.165,,1.979,,72.885,,55.694,,132.906
7134,SbCl5,4.95033,-2.6938,1.261,1.207,-0.59178,-0.49,0.2907,0.167,11.39,11.243,5.29,2.93,13.74247085656361,8.458
6186,SnSe2,5.18567,-2.66642,0.471,0.513,-0.33426,-0.786,0.8348,0.207,37.68,24.868,20.75,13.529,52.595410718289855,34.352
2000,OsCl3,4.78611,-2.61054,,1.058,,-0.59,,1.263,,37.141,,16.862,,43.152
6694,BaV4O8,5.13296,-2.57664,0.0,-0.078,-2.45408,-2.742,3.2579,3.722,31.42,22.942,8.87,7.835,24.32132842044022,20.002
6739,CaPbI4,4.70123,-2.55472,2.899,2.995,-1.18747,-1.218,0.003,-0.048,14.93,13.081,8.16,5.332,20.707444759206798,14.314
4014,Mn2F7,4.61931,-2.55409,0.0,-0.024,-2.05748,-2.314,0.7491,0.411,43.04,42.317,23.31,26.334,59.236118874237356,65.686
1739,BiI4,4.44501,-2.50844,0.46820000000000006,0.432,-0.26299126400000006,-0.15,,0.313,,14.015,,6.4,,16.942
4882,TeO3,5.03654,-2.47776,1.376,1.505,-0.84544,-0.859,1.8207,1.916,86.33,88.138,44.66,49.086,114.27459311707558,121.445
5586,LiMn5O5F,4.39178,-2.44426,0.0,-0.055,-2.095621260658181,-2.2,,0.864,,44.361,,25.934,,64.963
6371,SiTe,4.917,-2.41234,,0.369,,-0.1,,0.837,,32.188,,23.536,,56.728
3115,Mg3C,4.78,-2.40213,,0.126,0.6849452828125004,0.1,,0.039,,47.881,,29.132,,71.034
3635,Nb(SCl)2,4.70075,-2.3514,1.457,1.488,-1.08553,-1.103,1.803,1.858,36.1,33.69,22.3,19.746,55.476799387442576,49.117
5613,Li2Cr4O13,4.92913,-2.3447,1.5112,1.453,-1.6715065887499998,-1.788,,1.489,,38.83,,21.626,,54.366
5852,CaTeO3,5.16616,-2.34115,3.5123999999999995,3.711,-2.3948401820000003,-2.497,,1.412,,77.192,,32.971,,84.882
1498,YMg5,3.96229,-2.31697,0.0,0.001,-0.02181,0.046,0.1712,0.045,37.66,34.135,17.25,14.634,44.8953006219765,38.218
3863,La2PBr2,5.78882,-2.27266,0.0,-0.087,-1.8465588344285713,-1.931,,0.245,,24.44,,15.747,,38.877
1241,CrO3,4.46775,-2.24277,1.902,1.996,-1.70516,-1.789,2.5734,2.782,22.91,19.615,12.05,12.168,30.75748328794256,30.005
6046,SiP2,4.1315,-2.17358,1.194,1.255,-0.13219,-0.009,2.6429,2.923,33.73,31.582,25.1,23.907,60.33420698392589,57.738
1776,VSe3,4.43804,-2.16513,0.0,-0.074,-0.23539,-0.145,2.0703,2.089,18.62,17.901,7.81,8.122,20.555988691691535,20.603
1639,GaTe,3.65293,-2.14492,0.917,0.752,-0.35031,-0.283,0.0486,-0.019,26.04,23.483,16.53,13.724,40.92943264659271,33.891
3553,USe2O7,3.95438,-2.13524,2.1387,2.275,-2.1758798403437503,-2.374,,1.841,,70.528,,29.94,,77.507
6155,NiBi2,4.67184,-2.1098,0.0,-0.063,0.21247,0.286,0.0,-0.096,,34.608,,13.033,,34.076
7716,Te2W,4.82931,-2.08866,0.95,0.998,-0.03597,-0.064,2.9228,3.053,41.34,38.583,30.95,28.598,74.30636252177842,69.945
4888,Ti(GaO2)4,5.63659,-2.08249,2.3608000000000002,2.57,-2.563907287435897,-2.751,,1.467,150.99999999999994,161.739,70.00000000000001,77.198,181.89292543021034,194.205
5347,CuMoO4,4.28502,-2.07836,0.0,0.092,-1.6327,-1.68,2.5389,2.689,131.37,133.798,58.8,64.122,153.4984963900112,165.426
3896,TmBrO,4.32332,-2.0522,4.553,4.954,-3.09072,-3.227,0.0566,-0.085,42.51,42.466,26.53,23.26,65.88415357652862,57.958
4276,FeOF,4.64111,-2.04723,0.0,-0.058,-1.72093,-1.799,1.111,1.171,172.31,176.518,90.45,99.163,230.94101797886,250.054
4612,HoBrO,4.39437,-2.04337,3.77,4.088,-3.11975,-3.267,0.0622,-0.053,50.06,47.682,26.35,24.672,67.25049000169943,62.157
6260,Rb2F,4.12111,-2.03549,0.0,-0.099,-1.84711,-1.875,0.0168,-0.13,10.71,5.639,4.49,4.661,11.818435281267067,11.23
2784,VCl5,4.26855,-2.02528,1.0463,0.706,-1.4562933760500012,-1.262,,1.188,,40.088,,18.68,,48.335
3535,InTeI,4.48148,-1.98598,1.427,1.304,-0.4031,-0.315,0.0,-0.043,16.83,14.565,8.02,6.815,20.762081695436674,17.393
5246,LiAg(CO2)2,4.24657,-1.97314,,1.44,,-1.377,,1.346,,80.896,,21.891,,59.244
6017,BiTe,4.00767,-1.92191,,0.32,0.1610644925,0.192,,0.446,,33.077,,19.034,,46.549
1445,Al2S3,5.69406,-1.9067,3.131,0.644,-1.22286,-1.222,1.6863,1.252,40.07,33.907,24.04,21.546,60.10083327556326,53.58
4281,NbI2O,4.54132,-1.89142,0.681,0.637,-1.33465,-1.304,1.4791,1.425,36.39,37.876,23.27,22.149,57.54422908486862,55.346
681,USe5,4.25535,-1.87251,,0.098,,-0.574,,1.725,,29.691,,15.207,,38.354
1609,AsC,3.62251,-1.87183,0.243,0.292,0.76617,0.76,3.1618,3.372,37.01,35.483,21.53,17.361,54.09948476161738,43.599
6300,P2Pt,3.79092,-1.86404,1.024,0.012,-0.68546,0.06,2.3085,1.856,172.43,60.603,121.94,36.685,296.03589912863913,90.813
